序号,股票代码,股票名称,数量（股）,公允价值（元）,占基金资产净值比例（%）
1,002475,立讯精密,38631788,1900683969.6,8.52
2,002415,海康威视,22928442,1199616085.44,5.37
3,300454,深信服,6258946,1195458686.0,5.36
4,300750,宁德时代,1998366,1175039208.0,5.26
5,300413,芒果超媒,17101103,957131817.02,4.29
6,603799,华友钴业,7637836,842529689.16,3.77
7,600660,福耀玻璃,14535546,685205638.44,3.07
8,002466,天齐锂业,5800858,620691806.0,2.78
9,002460,赣锋锂业,3738223,534005155.55,2.39
10,002709,天赐材料,4581716,525293739.4,2.35
11,002311,海大集团,7000063,513104617.9,2.3
12,600765,中航重机,10000000,504900000.0,2.26
13,600745,闻泰科技,3806022,492118644.6,2.2
14,600673,东阳光,52037873,462096312.24,2.07
15,000792,盐湖股份,12511640,442786399.6,1.98
16,600141,兴发集团,11170895,423153502.6,1.9
17,002714,牧原股份,7507821,400617328.56,1.79
18,600516,方大炭素,34677804,375213839.28,1.68
19,603517,绝味食品,5000092,340527326.36,1.53
20,300037,新宙邦,2809180,317437340.0,1.42
21,002139,拓邦股份,15899200,297156048.0,1.33
22,603520,司太立,4300024,279501560.0,1.25
23,600085,同仁堂,6000081,269883643.38,1.21
24,600338,西藏珠峰,7149635,269255254.1,1.21
25,600150,中国船舶,10297600,255277504.0,1.14
26,688187,时代电气,3000000,246000000.0,1.1
27,002555,三七互娱,8287908,223939274.16,1.0
28,689009,九号公司,3114350,212292504.5,0.95
29,002371,北方华创,594300,206233986.0,0.92
30,300274,阳光电源,1392110,202969638.0,0.91
31,002459,晶澳科技,2104300,195068610.0,0.87
32,002299,圣农发展,7830989,189275004.13,0.85
33,600346,恒力石化,8207565,188527768.05,0.84
34,300919,中伟股份,1171931,177559265.81,0.8
35,600036,招商银行,3500000,170485000.0,0.76
36,600993,马应龙,5696461,163830218.36,0.73
37,002837,英维克,4000041,163561676.49,0.73
38,688772,珠海冠宇,3142771,152895809.15,0.68
39,002245,蔚蓝锂芯,5152500,141745275.0,0.64
40,600298,安琪酵母,2132025,128689029.0,0.58
41,300761,立华股份,3145800,118942398.0,0.53
42,002756,永兴材料,749300,110911686.0,0.5
43,000063,中兴通讯,3300000,108867000.0,0.49
44,002895,川恒股份,4302600,106231194.0,0.48
45,002812,恩捷股份,402000,100660800.0,0.45
46,600399,抚顺特钢,4000000,99080000.0,0.44
47,603659,璞泰来,611000,98132710.0,0.44
48,002025,航天电器,1166400,97919230.15,0.44
49,002791,坚朗五金,500085,90310485.0,0.41
50,002271,东方雨虹,1700031,89557653.08,0.4
51,002960,青鸟消防,1800444,87392136.2,0.39
52,300806,斯迪克,1400000,82600000.0,0.37
53,600026,中远海能,13902190,82300964.8,0.37
54,688099,晶晨股份,613900,79929780.0,0.36
55,002984,森麒麟,2000000,71140000.0,0.32
56,300223,北京君正,461500,61841000.0,0.28
57,300681,英搏尔,600000,61320000.0,0.27
58,601058,赛轮轮胎,4000088,59161301.52,0.27
59,603477,巨星农牧,3801200,58918600.0,0.26
60,000887,中鼎股份,2085200,45478212.0,0.2
61,601012,隆基股份,498800,42996560.0,0.19
62,300837,浙矿股份,846236,42971864.08,0.19
63,000733,振华科技,337600,41956928.0,0.19
64,002648,卫星化学,991100,39673733.0,0.18
65,603218,日月股份,1199945,39538187.75,0.18
66,300014,亿纬锂能,301029,35575607.75,0.16
67,002090,金智科技,3724288,35269007.36,0.16
68,301129,瑞纳智能,400020,33873693.6,0.15
69,300702,天宇股份,700081,33848916.35,0.15
70,688639,华恒生物,258971,33472001.75,0.15
71,600066,宇通客车,3000000,33060000.0,0.15
72,300745,欣锐科技,500000,32100000.0,0.14
73,300204,舒泰神,600000,26760000.0,0.12
74,002304,洋河股份,150000,24709500.0,0.11
75,301051,信濠光电,200000,24030000.0,0.11
76,300709,精研科技,400220,23993189.0,0.11
77,688198,佰仁医疗,90000,22887000.0,0.1
78,688299,长阳科技,631795,20659696.5,0.09
79,000049,德赛电池,299890,17489584.8,0.08
80,002840,华统股份,800000,13824000.0,0.06
81,300286,安科瑞,400000,13273200.0,0.06
82,300499,高澜股份,751000,11850780.0,0.05
83,301221,光庭信息,78511,7495445.17,0.03
84,603228,景旺电子,200000,6906000.0,0.03
85,300394,天孚通信,150000,5490000.0,0.02
86,688019,安集科技,14789,4040354.8,0.02
87,688733,壹石通,49955,3984410.8,0.02
88,688599,岩石光能,50000,3945000.0,0.02
89,688127,蓝特光学,134500,3092155.0,0.01
90,688377,迪威尔,100000,1861000.0,0.01
91,688032,禾迈股份,1810,1177694.6,0.01
92,688176,亚虹医药,37990,873010.2,0.0
93,688798,艾为电子,3592,755505.36,0.0
94,688778,厦钨新能,5075,511255.5,0.0
95,688262,国芯科技,7129,299275.42,0.0
96,688766,普冉股份,704,241281.92,0.0
97,688265,南模生物,2374,154381.22,0.0
98,301018,申菱环境,5611,148250.84,0.0
99,301155,海力风电,1054,101974.5,0.0
100,688768,容知日新,907,98445.78,0.0
101,301177,迪阿股份,792,93953.36,0.0
102,301136,招标股份,7172,75449.44,0.0
103,301050,雷电微力,233,54694.42,0.0
104,301035,润丰股份,644,36244.32,0.0
105,301221,亨迪药业,967,32539.55,0.0
106,603230,内蒙新华,1441,29517.67,0.0
107,301039,中集车辆,2064,25820.64,0.0
108,301096,百诚医药,272,21360.16,0.0
109,301093,华兰股份,409,20388.65,0.0
110,301149,隆华新材,1214,20346.64,0.0
111,301092,久盛电气,915,19699.95,0.0
112,300994,久祺股份,420,19089.0,0.0
113,001296,长江材料,310,18376.8,0.0
114,301088,戎美股份,704,17367.68,0.0
115,301168,通灵股份,329,17150.77,0.0
116,301190,善水科技,575,15789.5,0.0
117,301111,恒光股份,315,15441.3,0.0
118,301108,洁雅股份,280,15038.8,0.0
119,301179,泽宇智能,295,14977.15,0.0
120,301089,拓新药业,220,14944.6,0.0
121,301111,粤万年青,379,13901.72,0.0
122,301188,力诺特玻,647,13250.56,0.0
123,301017,漱玉平民,555,13209.0,0.0
124,301199,迈赫股份,402,12864.0,0.0
125,301138,华研精机,285,12785.1,0.0
126,301126,达嘉维康,662,12730.26,0.0
127,301185,鸥玛软件,578,12230.48,0.0
128,301021,英诺激光,290,12014.7,0.0
129,301092,争光股份,330,11744.63,0.0
130,301028,东亚机械,733,9895.9,0.0
131,301045,天禄科技,335,9503.55,0.0
132,300774,倍杰特,444,9359.52,0.0
133,301040,中环海陆,241,9280.91,0.0
134,301025,读客文化,403,8414.64,0.0
135,301066,万事利,344,7856.96,0.0
136,300814,中富电路,328,7707.7,0.0
137,301133,金钟股份,286,7650.4,0.0
138,301198,喜悦智行,262,7627.84,0.0
139,301030,仕净科技,242,7028.32,0.0
140,301081,严牌股份,403,6476.76,0.0
141,301033,迈普医学,108,6452.32,0.0
142,301049,超越科技,196,6417.63,0.0
143,301032,新柴股份,513,6135.65,0.0
144,301036,双乐股份,205,6065.15,0.0
145,301041,金百泽,215,6047.21,0.0
146,301072,中捷精工,181,5911.36,0.0
147,301083,百胜智能,416,5504.49,0.0
148,001234,泰慕士,333,5381.18,0.0
149,301038,深水规院,266,4761.9,0.0
150,301027,华蓝集团,286,4713.8,0.0
151,603176,汇通集团,1924,4680.0,0.0
152,301037,保立佳,193,4608.9,0.0
153,301073,君亭酒店,144,4086.72,0.0
154,301053,远信工业,155,3474.8,0.0
155,301068,大地海洋,144,4086.72,0.0
156,301079,邵阳液压,140,3474.8,0.0
